CountryCode,CountryName,Continent,CountryPop,Capital
ABW,Aruba,North_America,103000,129
AFG,Afghanistan,Asia,22720000,1
AGO,Angola,Africa,12878000,56
AIA,Anguilla,North_America,8000,62
ALB,Albania,Europe,3401200,34
AND,Andorra,Europe,78000,55
ANT,Netherlands_Antilles,North_America,217000,33
ARE,United_Arab_Emirates,Asia,2441000,65
ARG,Argentina,South_America,37032000,69
ARM,Armenia,Asia,3520000,126
ASM,American_Samoa,Oceania,68000,54
ATA,Antarctica,Antarctica,0,
ATF,French_Southern_territories,Antarctica,0,
ATG,Antigua_and_Barbuda,North_America,68000,63
AUS,Australia,Oceania,18886000,135
AUT,Austria,Europe,8091800,1523
AZE,Azerbaijan,Asia,7734000,144
BDI,Burundi,Africa,6695000,552
BEL,Belgium,Europe,10239000,179
BEN,Benin,Africa,6097000,187
BFA,Burkina_Faso,Africa,11937000,549
BGD,Bangladesh,Asia,129155000,150
BGR,Bulgaria,Europe,8190900,539
BHR,Bahrain,Asia,617000,149
BHS,Bahamas,North_America,307000,148
BIH,Bosnia_and_Herzegovina,Europe,3972000,201
BLR,Belarus,Europe,10236000,3520
BLZ,Belize,North_America,241000,185
BMU,Bermuda,North_America,65000,191
BOL,Bolivia,South_America,8329000,194
BRA,Brazil,South_America,170115000,211
BRB,Barbados,North_America,270000,174
BRN,Brunei,Asia,328000,538
BTN,Bhutan,Asia,2124000,192
BVT,Bouvet_Island,Antarctica,0,
BWA,Botswana,Africa,1622000,204
CAF,Central_African_Republic,Africa,3615000,1889
CAN,Canada,North_America,31147000,1822
CCK,Cocos_(Keeling)_Islands,Oceania,600,2317
CHE,Switzerland,Europe,7160400,3248
CHL,Chile,South_America,15211000,554
CHN,China,Asia,1277558000,1891
CIV,CÃ™te_dÃ­Ivoire,Africa,14786000,2814
CMR,Cameroon,Africa,15085000,1804
COD,Congo_The_Democratic_Republic_of_the,Africa,51654000,2298
COG,Congo,Africa,2943000,2296
COK,Cook_Islands,Oceania,20000,583
COL,Colombia,South_America,42321000,2257
COM,Comoros,Africa,578000,2295
CPV,Cape_Verde,Africa,428000,1859
CRI,Costa_Rica,North_America,4023000,584
CUB,Cuba,North_America,11201000,2413
CXR,Christmas_Island,Oceania,2500,1791
CYM,Cayman_Islands,North_America,38000,553
CYP,Cyprus,Asia,754700,2430
CZE,Czech_Republic,Europe,10278100,3339
DEU,Germany,Europe,82164700,3068
DJI,Djibouti,Africa,638000,585
DMA,Dominica,North_America,71000,586
DNK,Denmark,Europe,5330000,3315
DOM,Dominican_Republic,North_America,8495000,587
DZA,Algeria,Africa,31471000,35
ECU,Ecuador,South_America,12646000,594
EGY,Egypt,Africa,68470000,608
ERI,Eritrea,Africa,3850000,652
ESH,Western_Sahara,Africa,293000,2453
ESP,Spain,Europe,39441700,653
EST,Estonia,Europe,1439200,3791
ETH,Ethiopia,Africa,62565000,756
FIN,Finland,Europe,5171300,3236
FJI,Fiji_Islands,Oceania,817000,764
FLK,Falkland_Islands,South_America,2000,763
FRA,France,Europe,59225700,2974
FRO,Faroe_Islands,Europe,43000,901
FSM,Micronesia_Federated_States_of,Oceania,119000,2689
GAB,Gabon,Africa,1226000,902
GBR,United_Kingdom,Europe,59623400,456
GEO,Georgia,Asia,4968000,905
GHA,Ghana,Africa,20212000,910
GIB,Gibraltar,Europe,25000,915
GIN,Guinea,Africa,7430000,926
GLP,Guadeloupe,North_America,456000,919
GMB,Gambia,Africa,1305000,904
GNB,Guinea-Bissau,Africa,1213000,927
GNQ,Equatorial_Guinea,Africa,453000,2972
GRC,Greece,Europe,10545700,2401
GRD,Grenada,North_America,94000,916
GRL,Greenland,North_America,56000,917
