CountryCode,Language
ABW,Dutch
ABW,English
ABW,Papiamento
ABW,Spanish
AFG,Balochi
AFG,Dari
AFG,Pashto
AFG,Turkmenian
AFG,Uzbek
AGO,Ambo
AGO,Chokwe
AGO,Kongo
AGO,Luchazi
AGO,Luimbe-nganguela
AGO,Luvale
AGO,Mbundu
AGO,Nyaneka-nkhumbi
AGO,Ovimbundu
AIA,English
ALB,Albaniana
ALB,Greek
ALB,Macedonian
AND,Catalan
AND,French
AND,Portuguese
AND,Spanish
ANT,Dutch
ANT,English
ANT,Papiamento
ARE,Arabic
ARE,Hindi
ARG,Indian_Languages
ARG,Italian
ARG,Spanish
ARM,Armenian
ARM,Azerbaijani
ASM,English
ASM,Samoan
ASM,Tongan
ATG,Creole_English
ATG,English
AUS,Arabic
AUS,Canton_Chinese
AUS,English
AUS,German
AUS,Greek
AUS,Italian
AUS,Serbo-Croatian
AUS,Vietnamese
AUT,Czech
AUT,German
AUT,Hungarian
AUT,Polish
AUT,Romanian
AUT,Serbo-Croatian
AUT,Slovene
AUT,Turkish
AZE,Armenian
AZE,Azerbaijani
AZE,Lezgian
AZE,Russian
BDI,French
BDI,Kirundi
BDI,Swahili
BEL,Arabic
BEL,Dutch
BEL,French
BEL,German
BEL,Italian
BEL,Turkish
BEN,Adja
BEN,Aizo
BEN,Bariba
BEN,Fon
BEN,Ful
BEN,Joruba
BEN,Somba
BFA,Busansi
BFA,Dagara
BFA,Dyula
BFA,Ful
BFA,Gurma
BFA,Mossi
BGD,Bengali
BGD,Chakma
BGD,Garo
BGD,Khasi
BGD,Marma
BGD,Santhali
BGD,Tripuri
BGR,Bulgariana
BGR,Macedonian
BGR,Romani
BGR,Turkish
BHR,Arabic
BHR,English
BHS,Creole_English
BHS,Creole_French
BIH,Serbo-Croatian
BLR,Belorussian
BLR,Polish
BLR,Russian
BLR,Ukrainian
BLZ,English
BLZ,Garifuna
BLZ,Maya_Languages
BLZ,Spanish
BMU,English
BOL,AimarÂ·
BOL,GuaranÃŒ
BOL,KetÃ¶ua
BOL,Spanish
BRA,German
BRA,Indian_Languages
BRA,Italian
BRA,Japanese
BRA,Portuguese
BRB,Bajan
BRB,English
BRN,Chinese
BRN,English
BRN,Malay
BRN,Malay-English
BTN,Asami
BTN,Dzongkha
BTN,Nepali
BWA,Khoekhoe
BWA,Ndebele
BWA,San
BWA,Shona
BWA,Tswana
CAF,Banda
CAF,Gbaya
CAF,Mandjia
CAF,Mbum
CAF,Ngbaka
CAF,Sara
CAN,Chinese
CAN,Dutch
CAN,English
CAN,Eskimo_Languages
CAN,French
CAN,German
CAN,Italian
CAN,Polish
CAN,Portuguese
CAN,Punjabi
CAN,Spanish
CAN,Ukrainian
CCK,English
CCK,Malay
CHE,French
CHE,German
CHE,Italian
CHE,Romansh
CHL,AimarÂ·
CHL,Araucan
CHL,Rapa_nui
CHL,Spanish
CHN,Chinese
CHN,Dong
CHN,Hui
CHN,MantÃ¶u
CHN,Miao
CHN,Mongolian
CHN,Puyi
CHN,Tibetan
CHN,Tujia
CHN,Uighur
CHN,Yi
CHN,Zhuang
CIV,Akan
CIV,Gur
CIV,Kru
CIV,Malinke
CIV,[South]Mande
CMR,Bamileke-bamum
CMR,Duala
CMR,Fang
CMR,Ful
CMR,Maka
CMR,Mandara
CMR,Masana
CMR,Tikar
COD,Boa
COD,Chokwe
COD,Kongo
COD,Luba
COD,Mongo
COD,Ngala_and_Bangi
COD,Rundi
COD,Rwanda
COD,Teke
COD,Zande
COG,Kongo
COG,Mbete
COG,Mboshi
COG,Punu
COG,Sango
COG,Teke
COK,English
COK,Maori
COL,Arawakan
COL,Caribbean
COL,Chibcha
COL,Creole_English
COL,Spanish
COM,Comorian
COM,Comorian-Arabic
COM,Comorian-French
COM,Comorian-madagassi
COM,Comorian-Swahili
CPV,Crioulo
CPV,Portuguese
CRI,Chibcha
CRI,Chinese
CRI,Creole_English
CRI,Spanish
CUB,Spanish
CXR,Chinese
CXR,English
CYM,English
CYP,Greek
CYP,Turkish
CZE,Czech
CZE,German
CZE,Hungarian
CZE,Moravian
CZE,Polish
CZE,Romani
CZE,Silesiana
CZE,Slovak
DEU,German
DEU,Greek
DEU,Italian
DEU,Polish
DEU,Southern_Slavic_Languages
DEU,Turkish
DJI,Afar
DJI,Arabic
DJI,Somali
DMA,Creole_English
DMA,Creole_French
DNK,Arabic
DNK,Danish
DNK,English
DNK,German
DNK,Norwegian
DNK,Swedish
DNK,Turkish
DOM,Creole_French
DOM,Spanish
DZA,Arabic
DZA,Berberi
ECU,KetÃ¶ua
ECU,Spanish
EGY,Arabic
EGY,Sinaberberi
ERI,Afar
ERI,Bilin
ERI,Hadareb
ERI,Saho
ERI,Tigre
ERI,Tigrinja
ESH,Arabic
ESP,Basque
ESP,Catalan
ESP,Galecian
ESP,Spanish
EST,Belorussian
EST,Estonian
EST,Finnish
EST,Russian
EST,Ukrainian
ETH,Amhara
ETH,Gurage
ETH,Oromo
ETH,Sidamo
ETH,Somali
ETH,Tigrinja
ETH,Walaita
FIN,Estonian
FIN,Finnish
FIN,Russian
FIN,Saame
FIN,Swedish
FJI,Fijian
FJI,Hindi
FLK,English
FRA,Arabic
FRA,French
FRA,Italian
FRA,Portuguese
FRA,Spanish
FRA,Turkish
